text,true_text,around_text,description_mistake,source,is_mistake,type_mistake,students_degree
Подключение центра контроля сильных движений земли к станциям должно производиться по международно-признанным протоколам передачи сейсмологических данных. ,Подключение центра контроля сильных движений земли к станциям должно производиться по международно-признанным протоколам передачи сейсмологических данных. ,"Программное обеспечение, функционирующее на ЭВМ центра контроля сильных движений земли, должно выполнять следующие задачи: Непрерывный приём данных от станций контроля сильных движений земли с постоянным контролем потоков. Подключение центра контроля сильных движений земли к станциям должно производиться по международно-признанным протоколам передачи сейсмологических данных. Это должны быть протоколы реального масштаба времени с возможностью автоматического обнаружения ошибок и повторной передачи информации по запросу.",нет ошибки,https://www.hse.ru/edu/vkr/206732630,0.0,нет ошибки,магистратура
Выпускная квалификационная работа посвящена проблеме возможности организации сети передачи данных с использованием платформы на беспилотных летательных аппаратах. ,Выпускная квалификационная работа посвящена анализу возможности организации сети передачи данных с использованием платформы на беспилотных летательных аппаратах. ,"Выпускная квалификационная работа посвящена проблеме возможности организации сети передачи данных с использованием платформы на беспилотных летательных аппаратах. За время работы было проведено исследование в области радиотехнических систем на поиск возможных решений, а также аналогов данной системы. Были произведен поиск информации, их анализ и расчеты. ",неверное словоупотребление,https://www.hse.ru/edu/vkr/206744230,1.0,лексическая,магистратура
На сегодняшний день коммуникационная сеть приобрела размеры и области покрытия невероятных масштабов. ,На сегодняшний день коммуникационная сеть приобрела невероятные размеры и области покрытия. ,"На сегодняшний день коммуникационная сеть приобрела размеры и области покрытия невероятных масштабов. Оборудование постоянное совершенствуется, качество связи неуклонно растет. Тем не менее, часто происходит ситуации, когда покрытие сети отсутствует, либо имеет неудовлетворительное качество. ",плеоназм,https://www.hse.ru/edu/vkr/206744230,1.0,речевая,магистратура
В нашем сверхтехнологичном веке эти слова Натана Ротшильда уже стали аксиомой. ,В современном сверхтехнологичном мире эти слова Натана Ротшильда уже стали аксиомой. ,"«Тот, кто владеет информацией – владеет миром». В нашем сверхтехнологичном веке эти слова Натана Ротшильда уже стали аксиомой. Можно лишь внести небольшое дополнение: информацией желательно завладеть быстро, без потерь и особых усилий. ",использование личного местоимения,https://www.hse.ru/edu/vkr/206744230,1.0,стилистическая,магистратура
"Тем не менее, часто появляются ситуации, когда на определенной территории она отсутствует, а развертка её в стационарном виде экономически не целесообразна. ","Тем не менее, часто появляются ситуации, когда на определенной территории она отсутствует, а развертка ее в стационарном виде экономически не целесообразна. ","Они могут быть предназначены для работы как в одностороннем, так и в двухстороннем (интерактивном) режиме. В виду постоянного совершенствования технологий, на данный момент времени, имеется множество решений создания широкополосной сети. Тем не менее, часто имеются ситуации, когда на определенной территории она отсутствует, а развертка её в стационарном виде экономически не целесообразна. В таких случаях, решением данной проблемы, все чаще, становится использование беспилотных летательных аппаратов, с использованием широковещательного оборудования, для создания сети.",использование букв ё и е в одном тексте,https://www.hse.ru/edu/vkr/206744230,1.0,стилистическая,магистратура
"Полет БПЛА может работать с различной степенью автономности: при дистанционном управлении оператором, полностью или периодически автономно. ","Полет БПЛА может проходить с различной степенью автономности: при дистанционном управлении оператором, полностью или периодически автономно. ","Беспилотный воздушный механизм (UAV/БПЛА), обычно известный как беспилотник, является аппаратом без пилота на борту. БПЛА - компонент беспилотной системы; которые включают сам БПЛА, пункт наземного управления и систему связей между двумя. Полет БПЛА может работать с различной степенью автономности: при дистанционном управлении оператором, полностью или периодически автономно. По сравнению с пилотируемым самолетом, БПЛА первоначально использовались для миссий, представляющих опасность для людей. Сам же, этот тип техники появился, главным образом, в результате развития военных технологиях, но их использование быстро расширяется до коммерческих, научных, развлекательных, сельскохозяйственных, и других сфер, таких как безопасность и наблюдение, доставки продукта, аэрофотосъемка, сельское хозяйство, контрабанда и гонки на беспилотниках. ",неверное словоупотребление,https://www.hse.ru/edu/vkr/206744230,1.0,лексическая,магистратура
В этом случае питание квадрокоптера и ретранслятора обеспечивает бензиновый электрогенератор наземной установки посредством кабеля снижения. ,В этом случае питание квадрокоптера и ретранслятора обеспечивает бензиновый электрогенератор наземной установки с помощью кабеля снижения. ,"Радио ретранслятор, поднятый на квадрокоптере, позволит быстро развернуть радиосеть для покрытия значительных территорий. Для таких применений целесообразно использование привязного исполнения БПЛА. В этом случае питание квадрокоптера и ретранслятора обеспечивает бензиновый электрогенератор наземной установки посредством кабеля снижения. Время, которое БПЛА сможет провести на заданной высоте не ограничено. Использование наземного беспилотного транспортного средства в качестве носителя летательного аппарата позволит не только обеспечить его питанием, но и выдвинуться на позицию, наиболее удобную с точки зрения размещения узла ретрансляции. ","использование ""посредством"" в значении ""с помощью""",https://www.hse.ru/edu/vkr/206744230,1.0,лексическая,магистратура
"Для данного способа использования, удобнее использовать  в качестве наземного носителя роботизированное шасси внедорожного колесного беспилотного транспортного средства SRX 3, позволяющее удаленно управлять платформой или задавать маршрут ее движения, или внедорожный автомобиль на основе автомобиля типа «КАМАЗ-4350».","В описанных условиях удобнее использовать  в качестве наземного носителя роботизированное шасси внедорожного колесного беспилотного транспортного средства SRX 3, позволяющее удаленно управлять платформой или задавать маршрут ее движения, или внедорожный автомобиль на основе автомобиля типа «КАМАЗ-4350».","В этом случае, питание квадрокоптера и ретранслятора обеспечивает бензиновый электрогенератор наземной установки, посредством кабеля снижения. Время, которое БПЛА сможет провести на заданной высоте не ограничено. Использование наземного беспилотного транспортного средства в качестве носителя летательного аппарата позволит не только обеспечить его питанием, но и выдвинуться на позицию, наиболее удобную с точки зрения размещения узла ретрансляции. Для данного способа использования, удобнее использовать в качестве наземного носителя роботизированное шасси внедорожного колесного беспилотного транспортного средства SRX 3, позволяющее удаленно управлять платформой или задавать маршрут ее движения, или внедорожный автомобиль на основе автомобиля типа «КАМАЗ-4350».
Группировка беспилотных комплексов с ретрансляторами на борту позволит организовать самоорганизующуюся MESH сеть, обеспечить её надёжное автоматическое функционирование в условиях возможного выхода из строя некоторых узлов-ретрансляторов. Доставку беспилотных комплексов-ретрансляторов, например, в зону стихийных бедствий, можно осуществлять на грузовом автомобиле повышенной проходимости. ",тавтология,https://www.hse.ru/edu/vkr/206744230,1.0,речевая,магистратура
"Минусом описанных систем является их крайне узкое назначение; они обладают ограниченными возможностями по осуществлению видеомониторинга на различной территории и связи с абонентами и объектами, находящимися вне зоны прямой радиовидимости.","Недостатком описанных систем является их  узкое назначение; они обладают ограниченными возможностями по осуществлению видеомониторинга на различной территории и связи с абонентами и объектами, находящимися вне зоны прямой радиовидимости.","Известны также системы связи, в состав которых входит передающая и принимающая станция, в которой множество абонентов произвольно расположены и в которой обеспечиваются коммутирующие схемы внутри самих станций для маршрутизации вызовов между станциями в сети с использованием других станций для передачи вызовов в место вызова, включающая средство прерывания вызова, который передается станцией, для приема нового вызова в станцию из следующей станции в сети (ЕА 000791 В1 20000424, Н04В 7/15, Н04В 1/04, Н04В 1/16; GB96/02380 (РСТ). Минусом описанных систем является их крайне узкое назначение; они обладают ограниченными возможностями по осуществлению видеомониторинга на различной территории и связи с абонентами и объектами, находящимися вне зоны прямой радиовидимости. Имеется разработанная система связи с мобильной станцией видеомониторинга и связи, которая содержит станцию спутниковой связи с антенной системой, автоматизированное рабочее место оператора (АРМО) станции, спутниковый модем, блок электронной коммутации, навигационный приемник GPS, УКВ-радиостанцию с антенной, автоматизированное рабочее место диспетчера в составе портативного компьютера и многофункционального устройства, УКВ-ретранслятор с антенной, носимые УКВ-радиостанции со встроенной антенной, спутниковый радиотелефон, автоматический коммутатор каналов, базовую станцию транкинговой связи с антенной системой, абонентские терминалы со встроенной антенной, видеорегистратор, телевизионный приемник, телевизионный передатчик, переносную видеокамеру, базовую станцию широкополосного беспроводного доступа (ШБД) с антенной, наземную станцию управления беспилотным летательным аппаратом (БПЛА), состоящую из портативного компьютера и УКВ-радиостанции с антенной, малый БПЛА, содержащий стабилизированную платформу, на которой размещены УКВ-радиостанция с антенной, блок исполнительных устройств, абонентская станция ШБД с антенной, блок регистрации видеосигналов, цифровая видеокамера, тепловизор и фотоаппарат (патент на изобретение №2398353 от 28.08.2008, Н04В 7/26 (RU).","использование ""минус"" в значении ""недостаток""",https://www.hse.ru/edu/vkr/206744230,1.0,стилистическая,магистратура
"IP-камера позволяет совершить точную посадку беспилотного летательного аппарата на площадку, выбранную оператором, а также используется для видеомониторинга исследуемой территории.","IP-камера позволяет совершить точную посадку беспилотного летательного аппарата на площадку, выбранную оператором, а также используется для видеомониторинга исследуемой территории.","сбор данных с датчиков, находящихся на борту БПЛА, и со спутниковой системы GLONASS/GPS; оценки достоверности полученных значений; расчета значений, составляющих вектора скорости движения самолета, координат и высоты через параметры, отслеживаемые датчиками; сравнения погрешности рассчитанных данных с параметрами, полученными со спутниковой системы. IP-камера позволяет совершить точную посадку беспилотного летательного аппарата на площадку, выбранную оператором, а также используется для видеомониторинга исследуемой территории. Комплекс бортовых систем БПЛА (КБС БПЛА) также позволяет объединить существующие разнотипные средства связи в единую систему. Через данное устройство осуществляется межвидовая связь разнотипных абонентов по данным пункта управления. ",нет ошибки,https://www.hse.ru/edu/vkr/206744230,0.0,нет ошибки,магистратура
Устройство ретрансляции с переносом канала передачи информации на другую частоту делает линию связи существенно более помехозащищенной от воздействия преднамеренных помех. ,Устройство ретрансляции с переносом канала передачи информации на другую частоту делает линию связи существенно более защищенной от воздействия преднамеренных помех. ,"Характеристики приемного устройства определяются решаемой задачей, то есть параметрами объектов, с которыми устанавливается связь (например, прием сигналов в УКВ диапазоне, с БШРД и т.д.).
Устройство ретрансляции с переносом канала передачи информации на другую частоту делает линию связи существенно более помехозащищенной от воздействия преднамеренных помех. В свою очередь, устройство позволяет осуществлять межсистемную связь, когда системы связи включают подсистемы, несовместимые по внешнему интерфейсу, например, радио интерфейсу. Функции совмещения разных систем проводятся через коммутирующий маршрутизатор (КМ) по данным пункта управления.",плеоназм,https://www.hse.ru/edu/vkr/206744230,1.0,речевая,магистратура
"Для проведения расчетов выполняется дискретизация поверхности построенной модели, т.е. на поверхности строится сетка, для каждой ячейки которой будут рассчитываться локальные электрические токи и плотности электрического заряда. ","Для проведения расчетов выполняется дискретизация поверхности построенной модели, т.е. на поверхности строится сетка, для каждой ячейки которой будут рассчитываться локальные электрические токи и плотности электрического заряда. "," Для проведения расчетов выполняется дискретизация поверхности построенной модели, т.е. на поверхности строится сетка, для каждой ячейки которой будут рассчитываться локальные электрические токи и плотности электрического заряда. В данной геометрической модели существует около 1500-2000  треугольников. Число базовых деталей составляет 3. ",нет ошибки,https://www.hse.ru/edu/vkr/206746420,0.0,нет ошибки,магистратура
Действующую роль в этом играет количество легирования полупроводника. ,Важную роль в этом играет степень легирования полупроводника.,"При охлаждении до криогенных температур в полупроводниках заметно возрастает подвижность. Умеренное увеличение (20%) скорости было достигнуто при использовании германиевых схем. Однако, снижение температуры дает ограниченное количество улучшений. Действующую роль в этом играет количество легирования полупроводника. В сильнолегированных полупроводниках эффект температуры уменьшается, что серьезно ограничивает рост величины подвижности. В менее легированных полупроводниках носители заряда попадают в ловушки при более низких температурах, что замедляет работу транзистора. ",использование слова в несвойственном значении,https://www.hse.ru/edu/vkr/206745615,1.0,лексическая,магистратура
Другим способом увеличения скорости транзистора является увеличение подвижности носителей.,Другим способом увеличения скорости транзистора является увеличение подвижности носителей.,"В менее легированных полупроводниках носители заряда попадают в ловушки при более низких температурах, что замедляет работу транзистора. Если захват носителей не столь существенен при более низки температурах, то сильнолегированные полупроводники становятся менее привлекательными. Другим способом увеличения скорости транзистора является увеличение подвижности носителей. Обычно подвижность связана с полупроводниками, у которых небольшая ширина заращённой зоны. И имеет смысл использовать эти полупроводники, но это не так.",нет ошибки,https://www.hse.ru/edu/vkr/206745615,0.0,нет ошибки,магистратура
"Оптимизированные методы определения последовательного соединения были предложены и основаны на сравнении характеристик экспериментального устройства с симулятором MEDICI, принимая во внимания эффекты второго порядка, влияющие на подвижность носителей. ","Оптимизированные методы определения последовательного соединения основаны на сравнении характеристик экспериментального устройства с симулятором MEDICI, принимая во внимания эффекты второго порядка, влияющие на подвижность носителей. ","Важным недостатком LDD является то, что они увеличивают паразитное последовательное сопротивление в МОПТ, которое может стать ещё более выраженным при низких температурах из-за вымораживания свободных носителей. Полное сопротивление устройства состоит из суммы последовательного сопротивления Rs и сопротивления канала Rch. Оптимизированные методы определения последовательного соединения были предложены и основаны на сравнении характеристик экспериментального устройства с симулятором MEDICI, принимая во внимания эффекты второго порядка, влияющие на подвижность носителей. Важно, чтобы сопротивление также зависело от напряжения затвора. Простой метод, основанный на комбинации длинного и эталонного устройства и более короткого транзистора с L-матрицей, может быть использован для определения последовательного сопротивления.",неверная речеваяконструкция,https://www.hse.ru/edu/vkr/206745615,1.0,речевая,магистратура
Подвижность на пике очень чувствительна к плотности заряда оксида и в конце температурного диапазона и уменьшается по достижении 77K. ,Подвижность на пике очень чувствительна к плотности заряда оксида и в конце температурного диапазона и уменьшается по достижении 77K. ,"При малых концентрациях носителей инверсионного слоя, подвижность увеличивает по мере уменьшения рассеяния заряда оксида из-за экранирования носителей заряда. При концентрации носителей выше пока, подвижность уменьшается, так как преобладает рассеяние на шероховатостях поверхности. Подвижность на пике очень чувствительна к плотности заряда оксида и в конце температурного диапазона и уменьшается по достижении 77K. Подвижность очень сильно зависит от температуры при низких концентрациях носителей инверсионного слоя. Кулоновского рассеяния делится на высокотемпературный диапазон (100K <T <370K) и низкотемпературный диапазон (77K <T <100K). ",нет ошибки,https://www.hse.ru/edu/vkr/206745615,0.0,нет ошибки,магистратура
" Более типичным механизмом рассеяния для криогенных температур, в котором происходит вымораживание атомов легирующей примеси, является «низкоуровневая» ударная ионизация. "," Более типичным механизмом рассеяния для криогенных температур, в котором происходит вымораживание атомов легирующей примеси, является «низкоуровневая» ударная ионизация. ","Другим следствием является передача энергии для ионизации атомов кремния при взаимодействии горячего носителя с решеткой и создания электронно-дырочной пары. Это называется ударной ионизацией. Более типичным механизмом рассеяния для криогенных температур, в котором происходит вымораживание атомов легирующей примеси, является «низкоуровневая» ударная ионизация. При неупругом ударе горячего носителя с заполненным атомом примеси, избыточная энергия передается для высвобождения электрона в зону проводимости, оставляя фиксированный заряд. Это основной механизм примесного разрушения полупроводниковых материалов при низких температурах.",нет ошибки,https://www.hse.ru/edu/vkr/206745615,0.0,нет ошибки,магистратура
Для выполнения этой задачи нам необходим качественный программный инструмент. ,Для выполнения этой задачи необходим качественный программный инструмент. ,"Этот разряд является причиной которая вызывает отказы и сбои в работе бортового оборудования. В настоящее время основным способом изучение электризации реального КА является математическое моделирование.  Для выполнения этой задачи нам необходимо качественный программный инструмент. В мире для решения этих задач в данный момент существуют четыре программы. NASCAP NASA (CHARGING ANALYSIS PROGRAM) MUSCAT (Multi-Utility Spacecraft Charging Analysis Tool) Spacecraft Plasma Interaction Software, SPIS НИИЯФ МГУ  COLOUMB.",использование личного местоимения,https://www.hse.ru/edu/vkr/206746420,1.0,стилистическая,магистратура
"Значения параметров, заданные непосредственно при построении базового объекта (первый вариант), не редактируются; при необходимости изменения весь построенный объект должен быть удален и построен заново. ","Значения параметров, заданные непосредственно при построении базового объекта (первый вариант), не редактируются; при необходимости изменения весь построенный объект должен быть удален и построен заново. ","         Задание значений геометрических параметров может быть сделано двумя способами: непосредственным впечатыванием значений в соответствующие поля формы, которая открывается при нажатии New Entity/Primitives и выборе базового объекта. Например, для параллелепипеда с размерами 20*50*70 следует указать Dx: 20, Dy: 50, Dz: 70; для сферы радиусом 100 указать Radius: 100 (рис.1); указанием в соответствующих полях не числовых значений, а наименований переменных, значения которым присваиваются в окне Salome Notebook, которое открывается File/Notebook (рис.2).Значения параметров, заданные непосредственно при построении базового объекта (первый вариант), не редактируются; при необходимости изменения весь построенный объект должен быть удален и построен заново. Преимуществом второго варианта является возможность изменения ранее введенных значений и построение всей модели объекта с измененными значениями заново (выполняется по кнопке Update Study). В связи с этим рекомендуется пользоваться именно вторым вариантом, причем заранее выбирать наименования переменных. Например, для корпуса изделия (Name Main_Frame) для геометрических размеров в столбце Variable Name задать переменные Main_Fr_X, Main_Fr_Y, Main_Fr_Z, а в форме Box Construction указать Dx: Main_Fr_X, Dy: Main_Fr_Y, Dz: Main_Fr_Z.",нет ошибки,https://www.hse.ru/edu/vkr/206746420,0.0,нет ошибки,магистратура
"Сложная двумерная поверхность, которая имеет аксиальную симметрию (или является частью аксиально-симметричной поверхности), может быть создана с помощью операции Revolution.","Сложная двумерная поверхность, которая имеет аксиальную симметрию (или является частью аксиально-симметричной поверхности), может быть создана с помощью операции Revolution.","Сложная двумерная поверхность, которая имеет аксиальную симметрию (или является частью аксиально-симметричной поверхности) может быть создана с помощью операции Revolution. Для этой операции необходимо задать кривую линию или фигуру (Object), ось вращения (Axis) и угол вращения. Например, для создания модели параболической антенны Cup, ориентированной по оси OZ, в окне Construction by Revolution следует указать имя параболы Arc_3, расположенной в плоскости YOZ, имя заранее созданного вектора Rot_Z (0; 0; 1) и определить вращение на 180 в обоих направлениях (рис.8).",нет ошибки,https://www.hse.ru/edu/vkr/206746420,0.0,нет ошибки,магистратура
"Следовательно, сопротивление подложки достигает своего максимального значения, и уменьшение температуры в дальнейшем не влияет на количество ионизированной примеси. ","Следовательно, сопротивление подложки достигает своего максимального значения, и уменьшение температуры в дальнейшем не влияет на количество ионизированной примеси. ","При очень низкой температуре плотность свободных носителей заряда в подложке близка к нулю. Следовательно, сопротивление подложки достигает своего максимального значения и уменьшение температуры в дальнейшем не влияет на количество ионизированной примеси. Для высоких температур, критическое значение напряжения стока увеличивается линейно при уменьшении сопротивления подложки. «Кинк» эффект хорошо известен для кремния-на-сапфире и позже для кремния-на-изоляторе МОП-транзисторов с плавающей подложкой.",нет ошибки,https://www.hse.ru/edu/vkr/206746420,0.0,нет ошибки,магистратура
Магистерская диссертация посвящена вопросу применения  микроволнового излучения с целью формирования равномерного распределения температуры в объемных материалах с различными диэлектрическими потерями. ,Магистерская диссертация посвящена вопросу применения  микроволнового излучения с целью формирования равномерного распределения температуры в объемных материалах с различными диэлектрическими потерями. ,"Магистерская диссертация посвящена вопросу применения  микроволнового излучения с целью формирования равномерного распределения температуры в объемных материалах с различными диэлектрическими потерями. Актуальность представленной работы состоит в том, что современные микроволновые технологии позволяют осуществить интенсивные, энергосберегающие и экологически чистые технологические процессы термической обработки материалов. Основная научно-техническая задача выпускной квалификационной работы магистра состоит в том, чтобы разработать микроволновую установку для тепловой обработки изделий из бетона с малыми энергетическими затратами, высокой производительностью и требуемыми характеристиками изделий из бетона. ",нет ошибки,https://www.hse.ru/edu/vkr/206754019,0.0,нет ошибки,магистратура
"Применение микроволнового способа позволяет значительно повысить скорость тепловой обработки бетонных изделий, уменьшить площадь, необходимую для установки нагревательных установок, повысить экономические показатели процесса.","Применение микроволнового способа позволяет значительно повысить скорость тепловой обработки бетонных изделий, уменьшить площадь, необходимую для установки нагревательных установок, повысить экономические показатели процесса.","Научные исследования, проводимые во многих странах, по данному вопросу показали высокую эффективность способа с применением микроволнового излучения. Применение микроволнового способа позволяет значительно повысить скорость тепловой обработки бетонных изделий, уменьшить площадь, необходимую для установки нагревательных установок, повысить экономические показатели процесса. Техническое задание выпускной квалификационной работы состоит в том, чтобы разработать микроволновую установку лучевого типа для высокоэффективной тепловой обработки бетонных изделий. А также рассчитать параметры микроволновой установки с частотой колебаний электромагнитного поля 2450 МГц для нагрева плиты, размерами: 3000 мм × 2000 мм × 200 мм, от температуры +20°С до +70°С. Обрабатываемый материал обладал следующими параметрами: ",нет ошибки,https://www.hse.ru/edu/vkr/206754019,0.0,нет ошибки,магистратура
